Age,Overall,Potential,Value,Wage,International Reputation,Weak Foot,Skill Moves,Height,Weight,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release Clause,DefensiveAwareness,cluster,Player Name
23,82,89,56.5,130.0,2.0,3.0,2.0,186.0,78.0,72.0,48.0,81.0,77.0,34.0,70.0,60.0,40.0,70.0,73.0,81.0,84.0,69.0,83.0,63.0,62.0,86.0,85.0,80.0,42.0,82.0,84.0,64.0,59.0,60.0,74.0,73.73469387755102,83.0,82.0,11.0,8.0,15.0,12.0,15.0,127.1,83.0,1,Éder Militão
36,74,74,925.0,850.0,2.0,2.0,3.0,185.0,81.0,77.0,57.0,74.0,77.0,50.0,69.0,76.0,69.0,69.0,75.0,62.0,67.0,63.0,71.0,62.0,82.0,73.0,68.0,70.0,72.0,89.0,68.0,62.0,63.0,57.0,72.0,73.73469387755102,77.0,75.0,15.0,13.0,13.0,14.0,16.0,1.9,72.0,1,21 J. Holebas
29,76,77,7.0,36.0,2.0,3.0,2.0,188.0,84.0,65.0,60.0,81.0,72.0,61.0,66.0,66.0,66.0,73.0,71.0,57.0,59.0,64.0,74.0,61.0,77.0,77.0,71.0,78.0,73.0,73.0,79.0,62.0,69.0,75.0,74.0,73.73469387755102,78.0,76.0,8.0,9.0,11.0,10.0,15.0,13.8,74.0,1,F. Schär
26,73,75,3.5,13.0,1.0,3.0,3.0,183.0,79.0,77.0,56.0,69.0,69.0,59.0,70.0,75.0,68.0,72.0,72.0,69.0,74.0,72.0,68.0,67.0,74.0,82.0,82.0,68.0,64.0,67.0,66.0,65.0,70.0,65.0,68.0,73.73469387755102,71.0,70.0,12.0,16.0,7.0,9.0,16.0,5.5,66.0,1,N. Gavory
26,82,85,35.5,62.0,1.0,3.0,2.0,185.0,76.0,71.0,42.0,79.0,78.0,41.0,66.0,68.0,55.0,77.0,75.0,73.0,79.0,74.0,82.0,63.0,65.0,82.0,77.0,81.0,46.0,83.0,83.0,64.0,66.0,45.0,79.0,73.73469387755102,84.0,81.0,13.0,8.0,10.0,5.0,8.0,75.4,83.0,1,Mario Hermoso
25,81,81,25.0,41.0,1.0,3.0,2.0,181.0,82.0,40.0,56.0,83.0,67.0,63.0,60.0,72.0,58.0,58.0,64.0,68.0,74.0,61.0,78.0,63.0,74.0,91.0,76.0,79.0,61.0,86.0,82.0,58.0,50.0,62.0,70.0,73.73469387755102,85.0,84.0,18.0,12.0,14.0,11.0,18.0,45.0,77.0,1,Juiano Mestres
32,83,83,0.0,0.0,3.0,3.0,2.0,186.0,81.0,64.0,45.0,81.0,77.0,38.0,62.0,63.0,59.0,81.0,75.0,55.0,60.0,54.0,85.0,62.0,78.0,81.0,76.0,77.0,58.0,79.0,85.0,52.0,62.0,58.0,86.0,73.73469387755102,87.0,84.0,16.0,6.0,14.0,16.0,14.0,122.88882636655948,87.0,1,T. Alderweireld
36,80,80,0.0,0.0,1.0,3.0,2.0,181.0,82.0,40.0,56.0,80.0,67.0,63.0,60.0,72.0,58.0,58.0,64.0,67.0,74.0,61.0,76.0,63.0,74.0,91.0,60.0,77.0,61.0,86.0,82.0,58.0,50.0,62.0,70.0,73.73469387755102,82.0,82.0,14.0,15.0,15.0,17.0,19.0,122.88882636655948,83.0,1,21 J. Frendado
31,79,79,8.5,20.0,1.0,3.0,2.0,180.0,83.0,68.0,60.0,76.0,71.0,66.0,57.0,68.0,54.0,65.0,69.0,75.0,75.0,66.0,72.0,60.0,68.0,76.0,77.0,82.0,58.0,81.0,80.0,63.0,60.0,49.0,69.0,77.0,80.0,78.0,12.0,16.0,10.0,12.0,6.0,17.9,69.04920514761544,1,19 G. Mercado
36,72,72,525.0,7.0,2.0,3.0,3.0,175.0,75.0,68.0,58.0,74.0,71.0,57.0,72.0,65.0,48.0,70.0,70.0,70.0,72.0,73.0,67.0,78.0,70.0,80.0,69.0,64.0,65.0,75.0,72.0,72.0,71.0,67.0,74.0,73.73469387755102,75.0,66.0,8.0,13.0,10.0,13.0,10.0,1.1,70.0,1,G. Gönül
24,76,80,9.5,19.0,2.0,3.0,3.0,184.0,74.0,64.0,59.0,69.0,75.0,48.0,75.0,36.0,42.0,71.0,73.0,87.0,94.0,76.0,75.0,66.0,66.0,85.0,76.0,71.0,48.0,70.0,80.0,64.0,62.0,59.0,68.0,73.73469387755102,78.0,76.0,12.0,14.0,9.0,13.0,11.0,17.8,79.0,1,J. St. Juste
34,75,75,1.8,11.0,1.0,4.0,2.0,178.0,76.0,76.0,40.0,73.0,71.0,48.0,63.0,82.0,83.0,75.0,74.0,48.0,62.0,58.0,74.0,66.0,84.0,81.0,69.0,80.0,72.0,84.0,77.0,57.0,57.0,47.0,65.0,73.73469387755102,78.0,74.0,14.0,8.0,15.0,13.0,9.0,2.9,68.0,1,Arbilla
34,73,73,1.1,650.0,1.0,3.0,3.0,180.0,78.0,73.0,55.0,64.0,68.0,59.0,69.0,67.0,68.0,65.0,73.0,74.0,77.0,67.0,76.0,64.0,76.0,77.0,74.0,76.0,69.0,76.0,70.0,64.0,67.0,58.0,73.0,73.73469387755102,72.0,73.0,6.0,6.0,13.0,15.0,10.0,2.4,59.0,1,21 A. Pereira
30,81,81,21.0,33.0,2.0,3.0,2.0,182.0,77.0,51.0,42.0,76.0,75.0,37.0,53.0,72.0,51.0,83.0,75.0,69.0,72.0,68.0,80.0,61.0,81.0,91.0,71.0,79.0,74.0,84.0,83.0,48.0,55.0,39.0,69.0,73.73469387755102,80.0,84.0,12.0,16.0,11.0,13.0,11.0,44.1,82.0,1,Iñigo Martínez
34,84,84,13.5,175.0,4.0,3.0,2.0,194.0,85.0,57.0,65.0,84.0,80.0,57.0,63.0,58.0,43.0,80.0,80.0,50.0,64.0,57.0,85.0,35.0,62.0,74.0,63.0,86.0,51.0,79.0,85.0,66.0,72.0,69.0,87.0,73.73469387755102,85.0,83.0,10.0,11.0,14.0,15.0,8.0,27.7,86.0,1,Piqué
30,82,82,25.0,44.0,2.0,2.0,2.0,185.0,72.0,67.0,42.0,81.0,80.0,48.0,60.0,57.0,46.0,74.0,69.0,68.0,70.0,66.0,81.0,63.0,61.0,83.0,81.0,82.0,50.0,87.0,87.0,51.0,65.0,51.0,69.0,73.73469387755102,83.0,82.0,15.0,6.0,15.0,15.0,7.0,52.5,83.0,1,Gabriel Paulista
27,86,89,77.0,185.0,3.0,3.0,2.0,191.0,85.0,58.0,45.0,84.0,82.0,40.0,63.0,61.0,69.0,80.0,78.0,59.0,67.0,57.0,87.0,60.0,68.0,80.0,72.0,84.0,47.0,81.0,87.0,54.0,65.0,44.0,84.0,73.73469387755102,87.0,86.0,10.0,11.0,5.0,14.0,5.0,148.2,86.0,1,A. Laporte
21,85,90,75.0,81.0,3.0,3.0,2.0,189.0,89.0,52.0,50.0,85.0,75.0,45.0,65.0,48.0,55.0,63.0,73.0,71.0,75.0,60.0,84.0,62.0,82.0,93.0,75.0,93.0,66.0,83.0,81.0,44.0,45.0,40.0,82.0,73.73469387755102,85.0,85.0,12.0,11.0,11.0,12.0,10.0,129.4,84.0,1,M. de Ligt
34,85,85,17.5,110.0,3.0,4.0,2.0,190.0,85.0,44.0,48.0,83.0,81.0,58.0,69.0,56.0,60.0,81.0,79.0,60.0,68.0,59.0,82.0,53.0,74.0,90.0,65.0,86.0,65.0,82.0,86.0,38.0,71.0,70.0,86.0,73.73469387755102,85.0,81.0,2.0,2.0,3.0,2.0,4.0,28.9,88.0,1,L. Bonucci
25,74,74,4.1,18.0,1.0,3.0,2.0,188.0,77.0,70.0,50.0,75.0,74.0,59.0,68.0,52.0,70.0,77.0,70.0,72.0,76.0,64.0,71.0,55.0,79.0,81.0,61.0,74.0,76.0,68.0,76.0,59.0,58.0,66.0,76.0,73.73469387755102,76.0,70.0,8.0,8.0,9.0,10.0,12.0,7.8,74.0,1,Kaimo Lima
29,80,81,19.5,37.0,1.0,3.0,2.0,184.0,78.0,73.0,41.0,81.0,80.0,49.0,64.0,67.0,49.0,78.0,76.0,67.0,65.0,73.0,79.0,64.0,52.0,80.0,65.0,78.0,49.0,76.0,83.0,67.0,71.0,35.0,78.0,73.73469387755102,80.0,81.0,15.0,16.0,9.0,10.0,14.0,42.4,80.0,1,A. Mandi
25,76,83,13.5,40.0,2.0,3.0,3.0,183.0,78.0,64.0,50.0,79.0,76.0,51.0,68.0,57.0,49.0,74.0,72.0,60.0,73.0,73.0,70.0,65.0,65.0,85.0,73.0,79.0,59.0,80.0,72.0,52.0,68.0,66.0,79.0,73.73469387755102,77.0,75.0,10.0,15.0,12.0,10.0,15.0,25.7,72.0,1,L. Martínez Quarta
27,79,80,17.5,81.0,2.0,2.0,2.0,190.0,90.0,64.0,52.0,81.0,71.0,51.0,65.0,68.0,73.0,75.0,72.0,51.0,55.0,35.0,79.0,41.0,84.0,71.0,67.0,91.0,74.0,88.0,76.0,53.0,64.0,74.0,74.0,73.73469387755102,80.0,81.0,11.0,14.0,6.0,13.0,9.0,34.6,77.0,1,E. Dier
27,84,85,42.5,45.0,3.0,3.0,2.0,191.0,86.0,68.0,55.0,84.0,79.0,53.0,61.0,44.0,42.0,78.0,75.0,54.0,69.0,55.0,86.0,49.0,74.0,77.0,75.0,84.0,46.0,74.0,84.0,55.0,72.0,67.0,71.0,73.73469387755102,89.0,79.0,12.0,10.0,6.0,8.0,10.0,75.4,87.0,1,M. Ginter
34,69,69,450.0,5.0,1.0,2.0,2.0,180.0,79.0,74.0,54.0,63.0,66.0,53.0,63.0,78.0,75.0,64.0,65.0,67.0,69.0,70.0,70.0,65.0,66.0,90.0,79.0,71.0,63.0,72.0,67.0,60.0,62.0,72.0,62.0,73.73469387755102,68.0,67.0,9.0,9.0,12.0,11.0,9.0,788.0,69.0,1,J. Jacobson
28,84,86,42.5,155.0,3.0,3.0,2.0,194.0,100.0,51.0,48.0,87.0,78.0,47.0,71.0,48.0,46.0,84.0,76.0,47.0,53.0,50.0,84.0,41.0,75.0,85.0,82.0,90.0,52.0,84.0,86.0,61.0,70.0,44.0,85.0,73.73469387755102,83.0,78.0,14.0,16.0,9.0,14.0,9.0,81.8,87.0,1,H. Maguire
30,74,74,2.4,10.0,2.0,2.0,3.0,184.0,76.0,78.0,43.0,68.0,73.0,44.0,68.0,66.0,58.0,68.0,71.0,72.0,75.0,62.0,67.0,66.0,72.0,76.0,70.0,71.0,54.0,77.0,70.0,59.0,66.0,55.0,80.0,69.0,77.0,76.0,15.0,16.0,15.0,15.0,13.0,122.88882636655948,69.04920514761544,1,17 José Enrique
28,73,73,2.6,34.0,1.0,3.0,3.0,190.0,78.0,69.0,56.0,71.0,72.0,54.0,66.0,70.0,37.0,74.0,71.0,67.0,68.0,64.0,75.0,64.0,67.0,75.0,73.0,79.0,59.0,74.0,71.0,63.0,69.0,56.0,65.0,73.73469387755102,73.0,70.0,13.0,15.0,8.0,13.0,14.0,4.9,71.0,1,M. Tisserand
25,80,83,25.0,54.0,2.0,4.0,2.0,187.0,91.0,53.0,38.0,78.0,79.0,42.0,74.0,54.0,59.0,69.0,75.0,77.0,84.0,69.0,81.0,65.0,75.0,83.0,72.0,80.0,48.0,74.0,81.0,37.0,65.0,40.0,76.0,73.73469387755102,82.0,76.0,10.0,9.0,13.0,6.0,9.0,44.4,82.0,1,M. Akanji
28,79,81,17.5,80.0,1.0,3.0,2.0,186.0,80.0,67.0,51.0,74.0,81.0,56.0,62.0,60.0,62.0,85.0,79.0,41.0,51.0,48.0,80.0,54.0,68.0,84.0,78.0,74.0,64.0,70.0,78.0,50.0,71.0,60.0,80.0,73.73469387755102,79.0,74.0,8.0,15.0,10.0,12.0,8.0,34.6,83.0,1,C. Coady
26,75,78,6.5,17.0,1.0,3.0,2.0,185.0,77.0,65.0,56.0,73.0,70.0,54.0,63.0,63.0,53.0,73.0,68.0,65.0,66.0,63.0,73.0,61.0,74.0,75.0,73.0,78.0,64.0,75.0,75.0,56.0,65.0,63.0,71.0,73.73469387755102,76.0,76.0,6.0,10.0,9.0,7.0,9.0,13.5,76.0,1,D. Bronn
31,72,72,1.7,9.0,1.0,3.0,3.0,188.0,83.0,71.0,68.0,70.0,68.0,51.0,69.0,61.0,54.0,66.0,71.0,76.0,80.0,70.0,70.0,53.0,67.0,77.0,74.0,76.0,55.0,67.0,67.0,67.0,61.0,59.0,67.0,73.73469387755102,70.0,66.0,15.0,10.0,14.0,9.0,12.0,2.8,67.0,1,A. Rispoli
28,86,88,68.5,180.0,3.0,3.0,2.0,191.0,81.0,42.0,46.0,86.0,78.0,42.0,55.0,46.0,52.0,76.0,78.0,79.0,85.0,62.0,84.0,39.0,52.0,81.0,76.0,86.0,53.0,80.0,85.0,55.0,59.0,43.0,83.0,73.73469387755102,88.0,87.0,11.0,11.0,9.0,5.0,14.0,131.9,86.0,1,R. Varane
28,82,84,30.5,37.0,2.0,4.0,3.0,185.0,86.0,35.0,32.0,79.0,76.0,34.0,65.0,47.0,71.0,74.0,71.0,77.0,77.0,68.0,84.0,53.0,73.0,82.0,73.0,87.0,57.0,85.0,82.0,52.0,63.0,41.0,75.0,73.73469387755102,79.0,81.0,7.0,10.0,14.0,7.0,11.0,66.3,83.0,1,Diego Carlos
28,70,70,1.4,5.0,2.0,4.0,3.0,170.0,69.0,70.0,61.0,59.0,67.0,58.0,72.0,68.0,63.0,66.0,73.0,71.0,74.0,73.0,63.0,74.0,64.0,72.0,47.0,67.0,62.0,69.0,72.0,64.0,65.0,66.0,68.0,73.73469387755102,70.0,70.0,12.0,9.0,12.0,8.0,16.0,2.1,72.0,1,A. Najar
23,76,81,10.0,14.0,1.0,4.0,3.0,181.0,68.0,73.0,33.0,72.0,78.0,29.0,73.0,52.0,30.0,78.0,77.0,72.0,75.0,72.0,76.0,70.0,69.0,85.0,74.0,74.0,62.0,71.0,80.0,62.0,74.0,36.0,77.0,73.73469387755102,76.0,77.0,8.0,7.0,14.0,8.0,12.0,14.8,76.0,1,O. Boscagli
26,74,77,4.9,14.0,1.0,3.0,2.0,178.0,76.0,69.0,45.0,74.0,73.0,39.0,65.0,39.0,41.0,71.0,70.0,75.0,76.0,67.0,71.0,60.0,60.0,88.0,82.0,76.0,49.0,88.0,76.0,65.0,70.0,60.0,65.0,73.73469387755102,71.0,71.0,13.0,9.0,15.0,15.0,15.0,7.2,67.0,1,P. Díaz
31,78,78,9.5,69.0,1.0,3.0,3.0,188.0,84.0,54.0,52.0,78.0,78.0,47.0,68.0,61.0,48.0,78.0,74.0,52.0,63.0,61.0,78.0,60.0,67.0,82.0,73.0,75.0,58.0,84.0,80.0,51.0,71.0,47.0,76.0,73.73469387755102,79.0,77.0,10.0,16.0,6.0,11.0,7.0,18.1,79.0,1,R. Saïss
27,77,79,11.0,48.0,1.0,3.0,2.0,188.0,86.0,58.0,43.0,64.0,65.0,26.0,69.0,60.0,73.0,67.0,58.0,86.0,75.0,55.0,72.0,65.0,74.0,70.0,72.0,86.0,60.0,80.0,78.0,65.0,50.0,45.0,73.0,73.73469387755102,78.0,85.0,12.0,14.0,13.0,12.0,12.0,18.4,82.0,1,G. Dzhikiya
29,74,75,3.9,15.0,1.0,5.0,2.0,182.0,78.0,46.0,51.0,80.0,73.0,42.0,62.0,58.0,68.0,76.0,68.0,55.0,43.0,69.0,74.0,67.0,76.0,92.0,78.0,78.0,72.0,69.0,76.0,61.0,67.0,42.0,70.0,73.73469387755102,75.0,70.0,7.0,12.0,14.0,13.0,15.0,5.8,73.0,1,André Ramalho
31,74,74,2.9,15.0,1.0,3.0,3.0,183.0,71.0,59.0,58.0,72.0,76.0,43.0,66.0,53.0,57.0,75.0,72.0,59.0,58.0,67.0,69.0,65.0,77.0,69.0,68.0,80.0,60.0,67.0,74.0,55.0,73.0,55.0,80.0,73.73469387755102,75.0,74.0,15.0,13.0,12.0,11.0,16.0,4.4,75.0,1,N. Domínguez
25,69,70,1.7,5.0,1.0,3.0,3.0,173.0,68.0,70.0,60.0,63.0,64.0,51.0,65.0,65.0,45.0,63.0,65.0,91.0,85.0,81.0,63.0,84.0,63.0,75.0,80.0,67.0,57.0,73.0,66.0,63.0,65.0,47.0,65.0,73.73469387755102,67.0,65.0,11.0,6.0,14.0,5.0,10.0,2.4,69.0,1,F. Tudor
29,76,76,6.5,11.0,1.0,3.0,2.0,183.0,82.0,59.0,51.0,83.0,68.0,48.0,58.0,58.0,49.0,63.0,64.0,61.0,66.0,63.0,71.0,63.0,68.0,90.0,90.0,86.0,63.0,83.0,72.0,65.0,58.0,49.0,66.0,73.73469387755102,76.0,74.0,8.0,7.0,11.0,7.0,9.0,9.8,75.0,1,G. Trauner
33,70,70,750.0,4.0,1.0,3.0,3.0,180.0,74.0,69.0,51.0,70.0,68.0,30.0,55.0,51.0,77.0,61.0,62.0,70.0,67.0,75.0,70.0,72.0,69.0,86.0,88.0,74.0,64.0,71.0,66.0,62.0,52.0,74.0,69.0,73.73469387755102,73.0,72.0,9.0,7.0,10.0,16.0,7.0,1.3,68.0,1,J. Cuffaut
22,83,89,53.0,33.0,2.0,3.0,2.0,181.0,75.0,45.0,47.0,79.0,80.0,32.0,69.0,42.0,26.0,75.0,74.0,81.0,81.0,71.0,85.0,74.0,48.0,88.0,76.0,79.0,40.0,75.0,86.0,47.0,62.0,43.0,82.0,73.73469387755102,85.0,83.0,11.0,10.0,8.0,14.0,13.0,121.9,85.0,1,J. Koundé
29,76,76,6.5,31.0,2.0,3.0,2.0,194.0,87.0,63.0,50.0,75.0,80.0,51.0,67.0,50.0,62.0,85.0,73.0,64.0,76.0,54.0,76.0,46.0,76.0,57.0,67.0,83.0,57.0,69.0,80.0,55.0,67.0,53.0,80.0,73.73469387755102,77.0,76.0,6.0,13.0,8.0,7.0,14.0,11.1,75.0,1,K. Vogt
23,74,81,8.0,12.0,1.0,3.0,2.0,182.0,76.0,58.0,38.0,72.0,71.0,41.0,63.0,68.0,60.0,71.0,66.0,75.0,78.0,68.0,72.0,64.0,80.0,82.0,75.0,80.0,49.0,82.0,74.0,48.0,64.0,45.0,74.0,73.73469387755102,74.0,73.0,8.0,14.0,11.0,7.0,7.0,12.8,73.0,1,D. Martínez
32,83,83,16.5,48.0,3.0,3.0,2.0,189.0,90.0,62.0,51.0,81.0,73.0,49.0,60.0,55.0,74.0,72.0,69.0,40.0,45.0,51.0,75.0,33.0,80.0,79.0,63.0,91.0,64.0,80.0,82.0,42.0,63.0,71.0,77.0,73.73469387755102,83.0,81.0,14.0,6.0,13.0,13.0,14.0,34.7,82.0,1,20 E. Garay
29,76,76,6.5,23.0,2.0,3.0,2.0,188.0,83.0,60.0,46.0,71.0,68.0,49.0,60.0,45.0,36.0,76.0,66.0,67.0,74.0,65.0,76.0,64.0,72.0,70.0,68.0,78.0,77.0,77.0,81.0,61.0,71.0,42.0,74.0,73.73469387755102,79.0,76.0,13.0,7.0,16.0,13.0,7.0,11.7,80.0,1,J. Gouweleeuw
32,70,70,1.1,7.0,2.0,2.0,3.0,180.0,79.0,68.0,47.0,65.0,70.0,61.0,70.0,59.0,63.0,68.0,70.0,59.0,63.0,65.0,72.0,68.0,75.0,70.0,75.0,73.0,70.0,75.0,67.0,64.0,55.0,64.0,68.0,73.73469387755102,68.0,68.0,11.0,10.0,9.0,8.0,16.0,1.6,65.0,1,E. Insúa
26,72,73,2.5,10.0,1.0,2.0,3.0,180.0,75.0,75.0,50.0,59.0,71.0,40.0,70.0,59.0,59.0,66.0,71.0,81.0,82.0,76.0,70.0,66.0,67.0,80.0,73.0,62.0,66.0,70.0,71.0,63.0,65.0,42.0,58.0,73.73469387755102,65.0,64.0,8.0,10.0,14.0,13.0,15.0,3.9,65.0,1,L. Villalba
32,69,69,925.0,3.0,2.0,2.0,3.0,190.0,78.0,50.0,64.0,76.0,65.0,60.0,62.0,62.0,59.0,65.0,65.0,58.0,61.0,71.0,65.0,46.0,70.0,90.0,85.0,90.0,66.0,72.0,68.0,66.0,67.0,52.0,68.0,73.73469387755102,66.0,66.0,7.0,12.0,8.0,14.0,11.0,1.6,68.0,1,P. Oniangué
26,81,83,28.0,33.0,2.0,3.0,2.0,182.0,79.0,48.0,41.0,74.0,78.0,55.0,56.0,56.0,50.0,70.0,72.0,64.0,71.0,54.0,80.0,74.0,69.0,90.0,69.0,77.0,43.0,83.0,86.0,39.0,48.0,61.0,78.0,73.73469387755102,82.0,81.0,12.0,9.0,8.0,12.0,11.0,60.9,83.0,1,Yeray
